"ID_st","Eligible","Exclude_reason","ID_P","ID_subgroup","ID_iv","ID_dv","ID_report","ID_Wave","Authors","AUTHO0","AUTHO1","Pub_Year","Title","Journal","Doi","Pub_type","Design","Waves","Age_measure","Age_m_iv","Age_sd_iv","Age_m_dv","Age_sd_dv","male","N","N_m","N_f","SES","SES0","Country","P_Instrument","P_INS0","P_OBS","P_PR","P_SPR","P_CR","P_MIX","P_Inv","P_pos","P_Neg","P_Inc","P_War","P_Acc","P_Sen","P_Sup","P_Mon_poor","P_Mon","P_dir","P_Dem","P_Aut","P_prot","P_Con","P_Str_Con","P_B_Con","P_P_Con","P_Pun","P_Dis_indu","P_Dis","P_C_Dis","P_I_Dis","P_Hos","P_cor_pun","P_har","P_Rej","PB_instrument","PB_OBS","PB_PR","PB_PR_WHOM","PB_CR","PB_TR","PB_FR","PB_MIX","PB_PB","PB_toM","PB_toF","PB_toFR","PB_toFAM","PB_toSTR","PB_Alt","PB_Emp","PB_Sym","PB_com","PB_coop","PB_sha","M_IV","M_IV_SD","M_DV","M_DV_SD","R","R_m_f","B","ID_Copy","Eligible_copy","Lableparenting_copy","P_W","P_S","P_P","P_C","P_I","P_H","P_po","P_ne","ID","p_negative","id_merge","R_f"
5,"yes","Check scales for parenting dimension, mail correlatie voor tussen vaders moeders total schalen, let op niet significante = 0 gecodeerd                                                                                                                         ","mother","boys                                                                                                ","support                                                                                             ","helping                                                                                             ","c                                                                                                   ","1                                                                                                   ","BarTal, D., Nadler, A., & Blechman, N.                                                                                                                                                                                                                         ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",1980,"The relationship between israeli children's helping behavior and their perception of parents' socialization practices.                                                                                                                                         ","The Journal of Social Psychology                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","journal article","cross",1,NA,NA,NA,11.5,NA,100,79,NA,NA,"middel class sub urb                                                                                                                                                                                                                                           ","                                                ","IL                                                                                                                                                                                                                                                             ","Cornell parent behavior inventory (Devereux, Bronfenbrenner and Rodgers). short!                                                                                                                                                                               ","                                                ","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","sociomatric questionnaire following Hoffman et al                                                                                                                                              ","Nee","Nee","0","Ja","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,NA,NA,NA,5,"don't know (yet)","                                                                                                    ","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee",5,FALSE,"5_boys_support_helping_c_1_5",0.19
5,"yes","Check scales for parenting dimension, mail correlatie voor tussen vaders moeders total schalen, let op niet significante = 0 gecodeerd                                                                                                                         ","mother","boys                                                                                                ","discipline                                                                                          ","helping                                                                                             ","c                                                                                                   ","1                                                                                                   ","BarTal, D., Nadler, A., & Blechman, N.                                                                                                                                                                                                                         ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",1980,"The relationship between israeli children's helping behavior and their perception of parents' socialization practices.                                                                                                                                         ","The Journal of Social Psychology                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","journal article","cross",1,NA,NA,NA,11.5,NA,100,79,NA,NA,"middel class sub urb                                                                                                                                                                                                                                           ","                                                ","IL                                                                                                                                                                                                                                                             ","Cornell parent behavior inventory (Devereux, Bronfenbrenner and Rodgers). short!                                                                                                                                                                               ","                                                ","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","sociomatric questionnaire following Hoffman et al                                                                                                                                              ","Nee","Nee","0","Ja","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,0.18,NA,NA,5,"don't know (yet)","                                                                                                    ","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee",5,TRUE,"5_boys_discipline_helping_c_1_5",0.15
5,"yes","Check scales for parenting dimension, mail correlatie voor tussen vaders moeders total schalen, let op niet significante = 0 gecodeerd                                                                                                                         ","mother","girls                                                                                               ","support                                                                                             ","helping                                                                                             ","c                                                                                                   ","1                                                                                                   ","BarTal, D., Nadler, A., & Blechman, N.                                                                                                                                                                                                                         ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",1980,"The relationship between israeli children's helping behavior and their perception of parents' socialization practices.                                                                                                                                         ","The Journal of Social Psychology                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","journal article","cross",1,NA,NA,NA,11.5,NA,0,74,NA,NA,"middel class sub urb                                                                                                                                                                                                                                           ","                                                ","IL                                                                                                                                                                                                                                                             ","Cornell parent behavior inventory (Devereux, Bronfenbrenner and Rodgers). short!                                                                                                                                                                               ","                                                ","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","sociomatric questionnaire following Hoffman et al                                                                                                                                              ","Nee","Nee","0","Ja","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,0.22,NA,NA,5,"don't know (yet)","                                                                                                    ","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee",5,FALSE,"5_girls_support_helping_c_1_5",0.22
5,"yes","Check scales for parenting dimension, mail correlatie voor tussen vaders moeders total schalen, let op niet significante = 0 gecodeerd                                                                                                                         ","mother","girls                                                                                               ","discipline                                                                                          ","helping                                                                                             ","c                                                                                                   ","1                                                                                                   ","BarTal, D., Nadler, A., & Blechman, N.                                                                                                                                                                                                                         ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",1980,"The relationship between israeli children's helping behavior and their perception of parents' socialization practices.                                                                                                                                         ","The Journal of Social Psychology                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","journal article","cross",1,NA,NA,NA,11.5,NA,0,74,NA,NA,"middel class sub urb                                                                                                                                                                                                                                           ","                                                ","IL                                                                                                                                                                                                                                                             ","Cornell parent behavior inventory (Devereux, Bronfenbrenner and Rodgers). short!                                                                                                                                                                               ","                                                ","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","sociomatric questionnaire following Hoffman et al                                                                                                                                              ","Nee","Nee","0","Ja","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,NA,NA,NA,5,"don't know (yet)","                                                                                                    ","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee",5,TRUE,"5_girls_discipline_helping_c_1_5",NA
6,"yes","Leeftijd en SD opvragen                                                                                                                                                                                                                                        ","mother","                                                                                                    ","sensitivity                                                                                         ","PB                                                                                                  ","M-M                                                                                                 ","1-3                                                                                                 ","Blair, B. L., & Perry, N. B.                                                                                                                                                                                                                                   ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",2019,"Parental sensitivity and friendship development: The mediating role of cooperation.                                                                                                                                                                            ","Social Development                                                                                                                                                                                                                                             ","10.1111/sode.12332                                                                                                                                                                                                                                             ","journal article","longitudinal",2,NA,NA,NA,10.5,NA,49.2,955,NA,NA,"mean family income to needs ratio was 4,45 (SD=3,79), 22,7% below the 2.0 low-income cut-off                                                                                                                                                                   ","                                                ","US                                                                                                                                                                                                                                                             ","Observation parent-child sensitivity in lab/home, supportive presence, respect for autonomy and hostility                                                                                                                                                      ","                                                ","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Social Skills rating system (Gresham & Elliot, 1990), subscale cooperation                                                                                                                     ","Nee","Ja","both","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee",16.47,2.41,12.28,3.23,0.17,0.28,NA,6,"yes","sensitivity                                                                                         ","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee",6,FALSE,"6__sensitivity_PB__1-3_6",0.18
6,"yes","Leeftijd en SD opvragen                                                                                                                                                                                                                                        ","mother","                                                                                                    ","sensitivity                                                                                         ","PB                                                                                                  ","M-T                                                                                                 ","1-3                                                                                                 ","Blair, B. L., & Perry, N. B.                                                                                                                                                                                                                                   ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",2019,"Parental sensitivity and friendship development: The mediating role of cooperation.                                                                                                                                                                            ","Social Development                                                                                                                                                                                                                                             ","10.1111/sode.12332                                                                                                                                                                                                                                             ","journal article","longitudinal",2,NA,NA,NA,10.5,NA,49.2,955,NA,NA,"mean family income to needs ratio was 4,45 (SD=3,79), 22,7% below the 2.0 low-income cut-off                                                                                                                                                                   ","                                                ","US                                                                                                                                                                                                                                                             ","Observation parent-child sensitivity in lab/home, supportive presence, respect for autonomy and hostility                                                                                                                                                      ","                                                ","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Social Skills rating system (Gresham & Elliot, 1990), subscale cooperation                                                                                                                     ","Nee","Nee","0","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee",16.47,2.41,15.83,4.09,0.27,0.28,NA,6,"yes","sensitivity                                                                                         ","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee",6,FALSE,"6__sensitivity_PB_T_1-3_6",0.19
7,"yes","Means DV kloppen niet i.v.m latente variabele, MIXED REPORTER                                                                                                                                                                                                  ","mother","                                                                                                    ","warmth                                                                                              ","Prosocial behavior                                                                                  ","CR + PR                                                                                             ","1 op 1                                                                                              ","Carlo, Mestre, Samper, Tur, & Armenta                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",2011,"The longitudinal relations among dimensions of parenting styles, sympathy, prosocial moral reasoning, and prosocial behaviors                                                                                                                                  ","International Journal of Behavioral Development                                                                                                                                                                                                                ","10.1177/0165025410375921                                                                                                                                                                                                                                       ","journal article","cross",1,"Years",10.84,1.57,10.84,1.57,51,730,NA,NA,"M=3,11 SD=1,23 (hollingshead classification adapted for spain)                                                                                                                                                                                                 ","                                                ","Spain                                                                                                                                                                                                                                                          ","parent behavior inventory                                                                                                                                                                                                                                      ","                                                ","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,"rate classmates on generosity (?items) and prosocial behavior scale (10 items)                                                                                                                 ","Nee","Nee",NA,"Nee","Nee","Nee","Ja","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",2.5,0.32,2.53,0.28,NA,NA,0.33,7,"yes","warmth                                                                                              ","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee",7,FALSE,"7__warmth_Prosocialbehavior_CR+PR_1op1_7",NA
7,"yes","Means DV kloppen niet i.v.m latente variabele                                                                                                                                                                                                                  ","mother","                                                                                                    ","strict control                                                                                      ","Prosocial behavior                                                                                  ","CR + PR                                                                                             ","1 op 1                                                                                              ","Carlo, Mestre, Samper, Tur, & Armenta                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",2011,"The longitudinal relations among dimensions of parenting styles, sympathy, prosocial moral reasoning, and prosocial behaviors                                                                                                                                  ","International Journal of Behavioral Development                                                                                                                                                                                                                ","10.1177/0165025410375921                                                                                                                                                                                                                                       ","journal article","cross",1,"Years",10.84,1.57,10.84,1.57,51,730,NA,NA,"M=3,11 SD=1,23 (hollingshead classification adapted for spain)                                                                                                                                                                                                 ","                                                ","Spain                                                                                                                                                                                                                                                          ","parent behavior inventory                                                                                                                                                                                                                                      ","                                                ","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,"rate classmates on generosity (?items) and prosocial behavior scale (10 items)                                                                                                                 ","Nee","Nee",NA,"Nee","Nee","Nee","Ja","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",2.02,0.4,2.53,0.28,NA,NA,-0.01,7,"yes","strict control                                                                                      ","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee",7,FALSE,"7__strictcontrol_Prosocialbehavior_CR+PR_1op1_7",NA
7,"yes","Means DV kloppen niet i.v.m latente variabele                                                                                                                                                                                                                  ","mother","                                                                                                    ","warmth                                                                                              ","Prosocial behavior                                                                                  ","CR + PR                                                                                             ","2 op 2                                                                                              ","Carlo, Mestre, Samper, Tur, & Armenta                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",2011,"The longitudinal relations among dimensions of parenting styles, sympathy, prosocial moral reasoning, and prosocial behaviors                                                                                                                                  ","International Journal of Behavioral Development                                                                                                                                                                                                                ","10.1177/0165025410375921                                                                                                                                                                                                                                       ","journal article","cross",1,"Years",NA,NA,11.84,NA,51,730,NA,NA,"M=3,11 SD=1,23 (hollingshead classification adapted for spain)                                                                                                                                                                                                 ","                                                ","Spain                                                                                                                                                                                                                                                          ","parent behavior inventory                                                                                                                                                                                                                                      ","                                                ","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,"rate classmates on generosity (?items) and prosocial behavior scale (10 items)                                                                                                                 ","Nee","Nee",NA,"Nee","Nee","Nee","Ja","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",2.51,0.33,2.56,0.28,NA,NA,0.42,7,"yes","warmth                                                                                              ","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee",7,FALSE,"7__warmth_Prosocialbehavior_CR+PR_2op2_7",NA
7,"yes","Means DV kloppen niet i.v.m latente variabele                                                                                                                                                                                                                  ","mother","                                                                                                    ","strict control                                                                                      ","Prosocial behavior                                                                                  ","CR + PR                                                                                             ","2 op 2                                                                                              ","Carlo, Mestre, Samper, Tur, & Armenta                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",2011,"The longitudinal relations among dimensions of parenting styles, sympathy, prosocial moral reasoning, and prosocial behaviors                                                                                                                                  ","International Journal of Behavioral Development                                                                                                                                                                                                                ","10.1177/0165025410375921                                                                                                                                                                                                                                       ","journal article","cross",1,"Years",NA,NA,11.84,NA,51,730,NA,NA,"M=3,11 SD=1,23 (hollingshead classification adapted for spain)                                                                                                                                                                                                 ","                                                ","Spain                                                                                                                                                                                                                                                          ","parent behavior inventory                                                                                                                                                                                                                                      ","                                                ","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,"rate classmates on generosity (?items) and prosocial behavior scale (10 items)                                                                                                                 ","Nee","Nee",NA,"Nee","Nee","Nee","Ja","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",1.89,0.39,2.56,0.28,NA,NA,-0.03,7,"yes","strict control                                                                                      ","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee",7,FALSE,"7__strictcontrol_Prosocialbehavior_CR+PR_2op2_7",NA
